employee,award,level,employment,date,start,end,break_minutes,paid_rate
"Chen, Mia",higa,3,full_time,2026-07-07,16:00,23:00,0,29.00
"Chen, Mia",higa,3,full_time,2026-07-08,09:00,17:00,30,29.00
"Chen, Mia",higa,3,full_time,2026-07-12,10:00,18:00,30,29.00
"Nguyen, Josh",higa,1,casual,2026-07-09,12:00,18:00,0,33.05
"Nguyen, Josh",higa,1,casual,2026-07-10,21:00,02:00,0,33.05
"Nguyen, Josh",higa,1,casual,2026-07-11,10:00,16:00,0,33.05
"Sharma, Priya",gria,2,casual,2026-07-09,15:00,21:00,0,34.76
"Sharma, Priya",gria,2,casual,2026-07-11,09:00,15:00,0,34.76
"Sharma, Priya",gria,2,casual,2026-11-03,09:00,14:00,0,34.76
"Woods, Tom",gria,1,casual,2026-07-08,09:00,14:00,0,34.80
"Woods, Tom",gria,1,casual,2026-07-09,10:00,12:00,0,34.80
